epoch; counter; processing time; losses discriminator; losses generator;
3; 5; 7.0; 7.668; 0.0; 
3; 6; 7.0; 7.668; 0.0; 
3; 7; 7.0; 7.668; 0.0; 
3; 8; 7.0; 7.668; 0.0; 
3; 9; 7.0; 7.668; 0.0; 
3; 10; 7.1; 7.668; 0.0; 
3; 11; 7.1; 7.668; 0.0; 
3; 12; 7.1; 7.668; 0.0; 
3; 13; 7.0; 7.668; 0.0; 
3; 14; 7.0; 7.668; 0.0; 
3; 15; 7.1; 7.668; 0.0; 
3; 16; 7.4; 7.668; 0.0; 
3; 17; 8.7; 7.668; 0.0; 
3; 18; 8.2; 7.668; 0.0; 
3; 19; 9.1; 7.668; 0.0; 
3; 20; 8.4; 7.668; 0.0; 
3; 21; 7.2; 7.668; 0.0; 
3; 22; 7.0; 7.668; 0.0; 
3; 23; 7.1; 7.668; 0.0; 
3; 24; 7.2; 7.668; 0.0; 
3; 25; 7.7; 7.669; 0.0; 
3; 26; 7.1; 7.668; 0.0; 
3; 27; 7.1; 7.668; 0.0; 
3; 28; 7.1; 7.668; 0.0; 
3; 29; 7.2; 7.668; 0.0; 
3; 30; 7.2; 7.668; 0.0; 
3; 31; 7.1; 7.668; 0.0; 
3; 32; 7.1; 7.668; 0.0; 
3; 33; 7.1; 7.668; 0.0; 
3; 34; 7.0; 7.668; 0.0; 
3; 35; 7.1; 7.667; 0.0; 
3; 36; 7.0; 7.667; 0.0; 
3; 37; 7.6; 7.668; 0.0; 
3; 38; 7.3; 7.668; 0.0; 
3; 39; 7.1; 7.668; 0.0; 
3; 40; 7.3; 7.667; 0.0; 
3; 41; 7.3; 7.668; 0.0; 
3; 42; 8.1; 7.667; 0.0; 
3; 43; 8.7; 7.667; 0.0; 
3; 44; 8.3; 7.668; 0.0; 
3; 45; 7.2; 7.668; 0.0; 
3; 46; 7.1; 7.667; 0.0; 
3; 47; 7.1; 7.668; 0.0; 
3; 48; 7.1; 7.668; 0.0; 
3; 49; 7.1; 7.668; 0.0; 
3; 50; 7.1; 7.667; 0.0; 
3; 51; 7.2; 7.667; 0.0; 
3; 52; 7.1; 7.668; 0.0; 
3; 53; 7.2; 7.668; 0.0; 
3; 54; 7.0; 7.668; 0.0; 
3; 55; 7.0; 7.667; 0.0; 
3; 56; 7.0; 7.667; 0.0; 
3; 57; 7.2; 7.668; 0.0; 
3; 58; 7.4; 7.668; 0.0; 
3; 59; 7.1; 7.668; 0.0; 
3; 60; 7.1; 7.667; 0.0; 
3; 61; 7.1; 7.668; 0.0; 
3; 62; 7.0; 7.667; 0.0; 
3; 63; 7.0; 7.667; 0.0; 
3; 64; 7.0; 7.667; 0.0; 
3; 65; 7.1; 7.667; 0.0; 
3; 66; 7.0; 7.667; 0.0; 
3; 67; 7.0; 7.667; 0.0; 
3; 68; 7.0; 7.668; 0.0; 
3; 69; 7.0; 7.667; 0.0; 
3; 70; 7.2; 7.668; 0.0; 
3; 71; 7.1; 7.668; 0.0; 
3; 72; 7.1; 7.667; 0.0; 
3; 73; 7.1; 7.667; 0.0; 
3; 74; 7.1; 7.667; 0.0; 
3; 75; 7.0; 7.667; 0.0; 
3; 76; 7.0; 7.667; 0.0; 
3; 77; 7.1; 7.668; 0.0; 
3; 78; 7.1; 7.667; 0.0; 
3; 79; 7.0; 7.667; 0.0; 
3; 80; 7.1; 7.667; 0.0; 
3; 81; 7.1; 7.667; 0.0; 
3; 82; 7.0; 7.667; 0.0; 
3; 83; 7.1; 7.668; 0.0; 
3; 84; 7.1; 7.668; 0.0; 
3; 85; 7.3; 7.667; 0.0; 
3; 86; 7.0; 7.668; 0.0; 
3; 87; 7.1; 7.667; 0.0; 
3; 88; 7.0; 7.668; 0.0; 
3; 89; 7.1; 7.667; 0.0; 
3; 90; 7.1; 7.667; 0.0; 
3; 91; 7.1; 7.667; 0.0; 
3; 92; 7.0; 7.667; 0.0; 
3; 93; 7.0; 7.667; 0.0; 
3; 94; 7.0; 7.667; 0.0; 
3; 95; 7.0; 7.667; 0.0; 
3; 96; 7.1; 7.667; 0.0; 
3; 97; 7.0; 7.667; 0.0; 
3; 98; 7.0; 7.667; 0.0; 
3; 99; 7.1; 7.667; 0.0; 
3; 100; 7.2; 7.667; 0.0; 
3; 101; 7.0; 7.667; 0.0; 
3; 102; 7.0; 7.667; 0.0; 
3; 103; 7.0; 7.668; 0.0; 
3; 104; 7.1; 7.667; 0.0; 
3; 105; 7.0; 7.667; 0.0; 
3; 106; 7.0; 7.668; 0.0; 
3; 107; 7.1; 7.667; 0.0; 
3; 108; 7.0; 7.667; 0.0; 
3; 109; 7.0; 7.668; 0.0; 
3; 110; 7.1; 7.667; 0.0; 
3; 111; 7.1; 7.667; 0.0; 
3; 112; 7.0; 7.668; 0.0; 
3; 113; 7.1; 7.667; 0.0; 
3; 114; 7.1; 7.667; 0.0; 
3; 115; 7.0; 7.667; 0.0; 
